metric,mean,std,ci95_halfwidth,ci95_rel_pct,theory,relative_error_pct,replications,lam,mu,warmup,horizon
L,5.636418961461777,0.2343866637588797,0.1027244845841113,1.8225132887827455,5.666666666666666,0.533783033027458,20,0.85,1.0,10000.0,200000.0
Lq,4.786727493730642,0.23073179272189986,0.10112266672692562,2.112563684884293,4.8166666666666655,0.6215745246233241,20,0.85,1.0,10000.0,200000.0
W_mean,6.629404692075868,0.2612365101688598,0.11449194860870755,1.7270321231944077,6.666666666666666,0.5589296188619742,20,0.85,1.0,10000.0,200000.0
Wq_mean,5.62991046780443,0.2590606151494209,0.11353832057033533,2.016698510919897,5.666666666666665,0.6486388034512163,20,0.85,1.0,10000.0,200000.0
utilization,0.8496914677311251,0.0040478686187339855,0.0017740566415135643,0.20878833186953263,0.85,0.03629791398527522,20,0.85,1.0,10000.0,200000.0
lambda_hat,0.8501221052631578,0.002023682931748927,0.0008869181496581468,0.10432832462150818,0.85,,20,0.85,1.0,10000.0,200000.0
little_L_error,3.6805791860875195e-05,6.042547664520317e-05,2.6482632776894046e-05,71.95235162171653,,,20,0.85,1.0,10000.0,200000.0
little_Lq_error,4.3261554193157095e-05,6.902213158750178e-05,3.025028292359153e-05,69.92417051992176,,,20,0.85,1.0,10000.0,200000.0
