g,replications,lam,mu,rho_theory,Pwait_theory,L_theory,Lq_theory,W_theory,Wq_theory,L_mean,L_ci95,Lq_mean,Lq_ci95,W_mean,W_ci95,Wq_mean,Wq_ci95,Pwait_sim_mean,Pwait_sim_ci95,utilization_mean,utilization_ci95,lambda_hat_mean,lambda_hat_ci95,decision_mode,alpha,beta,c_server,c_wait,score
1,20,0.85,1.0,0.85,0.8500000000000001,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667,5.636418961461777,0.1027244845841113,4.786727493730642,0.10112266672692562,6.629404692075868,0.11449194860870755,5.62991046780443,0.11353832057033533,0.8495783453654713,0.0017652066975857676,0.8496914677311251,0.0017740566415135623,0.8501221052631578,0.0008869181496581468,weights,0.6,0.4,1.0,1.0,3.7177776188288463
2,20,1.7,1.0,0.85,0.781081081081081,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603,6.108322975615782,0.044458909769191875,4.409364679636317,0.04331908087052603,3.5939751305925087,0.023977699840671367,2.5943050081959127,0.023902955387953714,0.7800179658709818,0.0011502202476433429,0.8494791479897505,0.0008108961126332819,1.699520789473684,0.00150047095950888,weights,0.6,0.4,1.0,1.0,1.8685901912659402
3,20,2.55,1.0,0.85,0.7303766105054509,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557,6.70068993572075,0.0446641546224673,4.149678321999238,0.04272028445460543,2.6271693411934454,0.016763422611563713,1.6269703288515154,0.01628518891460706,0.7307775010630386,0.0014658942481853916,0.8503372045738127,0.0007942209801638963,2.5504976315789474,0.0015680913454767787,weights,0.6,0.4,1.0,1.0,1.2684931977361247
4,20,3.4,1.0,0.85,0.6893162216811786,7.3061252561933445,3.9061252561933446,2.148860369468631,1.1488603694686308,7.339488617297621,0.028622876325499626,3.9377993767349793,0.027347225811486523,2.157936982550799,0.008240332652818826,1.1577780846173815,0.007951828672387211,0.69006210441348,0.0011583704013621726,0.8504223101406593,0.0005790205365283756,3.40112552631579,0.0012196463570079473,weights,0.6,0.4,1.0,1.0,0.9706916925358209
