model,g,lam,mu,seed,warmup,horizon,L,Lq,utilization,W_mean,Wq_mean,Pwait_sim,Pwait_theory,n_samples,obs_time,arrivals_obs,lambda_hat,rho_theory,little_L_error,little_Lq_error,L_theory,Lq_theory,W_theory,Wq_theory
mmg,1,0.85,1.0,123,10000.0,200000.0,5.655589920648151,4.802918590256219,0.8526713303917312,6.649056431550899,5.646543147354095,0.85314265558574,0.8500000000000001,161599,190000.0,161611,0.8505842105263158,0.85,1.3270185094528482e-06,1.2106193383371156e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,124,10000.0,200000.0,5.495812556124538,4.6476219503142095,0.8481906058103033,6.484679036171279,5.483884454862314,0.8485371654980965,0.8500000000000001,161023,190000.0,161024,0.8474947368421053,0.85,1.4775405495339233e-05,1.2638155338011288e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,125,10000.0,200000.0,5.451158601476598,4.604501813234546,0.8466567882419735,6.432169950633992,5.432989548756305,0.8462398519171879,0.8500000000000001,160991,190000.0,161013,0.8474368421052632,0.85,5.518287926530297e-05,8.389764219320168e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,126,10000.0,200000.0,6.128576979113755,5.2708426312052525,0.8577343479083858,7.170279873410219,6.166777947178914,0.8573363875957536,0.8500000000000001,162396,190000.0,162397,0.8547210526315789,0.85,1.9877290425766682e-06,6.12940946566463e-06,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,127,10000.0,200000.0,5.5217621803904,4.673311338605981,0.8484508417845725,6.4995944434363135,5.500899765945124,0.8483569994795926,0.8500000000000001,161412,190000.0,161416,0.8495578947368421,0.85,3.5480736024788698e-06,4.597534208536537e-06,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,128,10000.0,200000.0,5.313013935205581,4.471281753768859,0.8417321814366789,6.2688038830367985,5.275604309808491,0.841335494568964,0.8500000000000001,161019,190000.0,161029,0.847521052631579,0.85,1.330120985305343e-05,2.147837187656742e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,129,10000.0,200000.0,5.468061399766107,4.621022307830954,0.8470390919351527,6.42538171760314,5.429967308074022,0.846602049841963,0.8500000000000001,161671,190000.0,161684,0.8509684210526316,0.85,4.836538172894613e-05,6.310320365705314e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,130,10000.0,200000.0,6.004409505510789,5.14957569685842,0.8548338086523428,7.044571309509139,6.041666935954628,0.8544620362594477,0.8500000000000001,161944,190000.0,161944,0.8523368421052632,0.85,1.0299360557242228e-05,7.841347996074646e-06,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,131,10000.0,200000.0,5.640276903479648,4.794330232756441,0.845946670723221,6.63381227348476,5.638848019378521,0.8456633837430282,0.8500000000000001,161543,190000.0,161547,0.8502473684210526,0.85,1.8531829525154837e-05,1.7824522355138948e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,132,10000.0,200000.0,5.4836265160349384,4.634809183578271,0.8488173324566703,6.467124046945052,5.4660508617459165,0.8493966180815932,0.8500000000000001,161092,190000.0,161092,0.8478526315789474,0.85,8.358958870439372e-05,8.707502005752331e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,133,10000.0,200000.0,5.379339006985789,4.53389554276846,0.8454434642173041,6.335346388524787,5.339666342900788,0.8460522808561811,0.8500000000000001,161321,190000.0,161326,0.8490842105263158,0.85,1.7924186289202163e-05,1.52543286345378e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,134,10000.0,200000.0,5.726125699214832,4.876212682676508,0.8499130165383268,6.740355129268002,5.7399161806596934,0.8495604279863946,0.8500000000000001,161407,190000.0,161407,0.8495105263157895,0.85,2.1491982800468223e-05,1.916795715412649e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,135,10000.0,200000.0,5.56391202928854,4.714373293955756,0.8495387353327349,6.54403240685424,5.544789889755404,0.8490401342140615,0.8500000000000001,161533,190000.0,161543,0.8502263157894737,0.85,6.228714470569517e-07,9.97251582874298e-06,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,136,10000.0,200000.0,5.670784457836859,4.822352419705191,0.8484320381316052,6.671664846878988,5.673218413461624,0.8490749515332825,0.8500000000000001,161451,190000.0,161475,0.8498684210526316,0.85,0.0001317610699227955,0.00017900897626577228,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
